original_name,clean,counts
emtricitab-rilpivirine-tenofov,emtricitab-rilpivirine-tenofov,30
emtricitab-rilpivirine-tenofov (200mg/25mg/300mg,emtricitab-rilpivirine-tenofov (200mg/25mg/300mg,48
emtricitabine,emtricitabine,13
emtricitabine-tenofovir (TDF),emtricitabine-tenofovir (tdf),29
emtricitabine-tenofovir alafen,emtricitabine-tenofovir alafen,30
emtricitabine-tenofovir alafenamide  ,emtricitabine-tenofovir alafenamide,35
enalapril,enalapril,9
enalapril ,enalapril,9
enalapril maleate,enalapril maleate,17
enasidenib,enasidenib,10
enasidenib (IDHIFA),enasidenib (idhifa),19
enasidenib Mesylate (Idhifa),enasidenib mesylate (idhifa),28
encorafenib,encorafenib,11
enoxaparin,enoxaparin,10
entacapone,entacapone,10
entecavir,entecavir,9
enzalutamide,enzalutamide,12
enzalutamide ,enzalutamide,12
enzalutamide (Xtandi),enzalutamide (xtandi),21
ep,epinephrine,11
epi,epinephrine,11
epinephrine,epinephrine,11
epip,epipen,6
epo,epoetin,7
epoetin alfa,epoetin alfa,12
erdafitinib,erdafitinib,11
ergo,ergocalciferol,14
ergocal,ergocalciferol,14
ergocalc,ergocalciferol,14
ergocalcif,ergocalciferol,14
ergocalciferol ,ergocalciferol,14
ergocalciferol (vitamin D2),ergocalciferol (vitamin d2),27
ergotamine-caffeine,ergotamine-caffeine,19
erlipressin ,erlipressin,11
erlotinib,erlotinib,9
ertapenem,ertapenem,9
erythrom,erythromycin,12
erythromycin,erythromycin,12
erythromycin with ethanol,erythromycin with ethanol,25
escitalopram oxalate,escitalopram oxalate,20
escitalopram oxalate solution ,escitalopram oxalate,20
eslicarbazepine,eslicarbazepine,15
esmolol,esmolol,7
eso,esomeprazole,12
esomep,esomeprazole,12
esomeprazole,esomeprazole,12
esomeprazole magnesium,esomeprazole magnesium,22
esomeprazole magnesium (nexium),esomeprazole magnesium (nexium),31
estazolam,estazolam,9
estradioL,estradiol,9
estradioL 0.025mg/day,estradiol 0.025mg/day,21
estradioL-progesterone Femoston,estradiol-progesterone femoston,31
estradioL/dyhydrogesterone,estradiol/dyhydrogesterone,26
estradiol,estradiol,9
estradiol ,estradiol,9
estradiol 0.5mg,estradiol 0.5mg,15
estradiol 2mg,estradiol 2mg,13
estradiol valerate,estradiol valerate,18
estradiol-progesterone-testosterone,estradiol-progesterone-testosterone,35
estradiol/prog,estradiol/prog,14
estradiol/progesterone/testosterone,estradiol/progesterone/testosterone,35
estriol (bulk),estriol,7
estrogens-methyltestosterone,estrogens-methyltestosterone,28
estropipate,estropipate,11
eszopiclone,eszopiclone,11
etanercept,etanercept,10
ethanol (ethyl alcohol),ethanol (ethyl alcohol),23
ethionamide,ethionamide,11
ethosux,ethosux,7
ethosuximide,ethosuximide,12
ethyl chloride,ethyl chloride,14
ethynodiol diac-eth estradioL (Zovia),ethynodiol diac-eth estradiol (zovia),37
ethynodiol diac-eth estradiol,ethynodiol diac-eth estradiol,29
etodolac,etodolac,8
etomidate,etomidate,9
etravirine,etravirine,10
eucer,eucer,5
eucerin,eucerin,7
everolimus,everolimus,10
everolimus (antineoplastic),everolimus (antineoplastic),27
everolimus 10mg,everolimus 10mg,15
evolocumab,evolocumab,10
exe,exemestane,10
exem,exemestane,10
exemes,exemestane,10
exemestane,exemestane,10
exenatide,exenatide,9
eye lubricant combination no.1,lubricant combination no.1,26
ezetimibe,ezetimibe,9
ezogabine,ezogabine,9
factor XIII,factor xiii,11
fam,famciclovir,11
famc,famciclovir,11
famci,famciclovir,11
famcic,famciclovir,11
famciclovir,famciclovir,11
famotidine,famotidine,10
famotidine 40 mg,famotidine 40mg,15
famotidine-Ca carb-mag hydrox,famotidine-carbonate carbamazepine-mag hydrox,45
febuxostat,febuxostat,10
felbamate,felbamate,9
felbamate ,felbamate,9
felbamate 600mg,felbamate 600mg,15
felodipine,felodipine,10
fenof,fenofibrate,11
fenofi,fenofibrate,11
fenofib,fenofibrate,11
fenofibrate,fenofibrate,11
fenofibrate micronized,fenofibrate micronized,22
fenofibrate nanocrystallized,fenofibrate nanocrystallized,28
fenofibrate tablet,fenofibrate,11
fenofibric acid,fenofibric acid,15
fenofibric acid (choline),fenofibric acid (choline),25
fentaNYL,fentanyl,8
fentaNYL ,fentanyl,8
fentaNYL (PF)-bupivacaine-NaCL,fentanyl (pf)-bupivacaine-nacl,30
fentaNYL (PF)-bupivacaine-NaCl,fentanyl (pf)-bupivacaine-nacl,30
fentaNYL Citrate,fentanyl citrate,16
fentaNYL Citrate (Actiq),fentanyl citrate (actiq),24
fentaNYL Citrate (PF),fentanyl citrate (pf),21
fentaNYL IT 2000 mcg/ml pump,fentanyl it 2000 mcg/ml pump,28
fentaNYL buccal,fentanyl buccal,15
fentaNYL citrate,fentanyl citrate,16
fentaNYL citrate (PF),fentanyl citrate (pf),21
fentaNYL citrate lollipops,fentanyl citrate lollipops,26
fentaNYL citrate transmucosal lozenge,fentanyl citrate transmucosal,29
fentanyl,fentanyl,8
fentanyl 100 mcg/hr patch,fentanyl 100 mcg/hr patch,25
fentanyl citrate transmucosal lozenge,fentanyl citrate transmucosal,29
ferric citrate,ferric citrate,14
ferrous,ferrous,7
ferrous fumarate,ferrous fumarate,16
ferrous gluconate (bulk),ferrous gluconate,17
ferrous sulfate,ferrous sulfate,15
ferrous sulfate 47.5 mg (Iron),ferrous sulfate 47.5mg (iron),29
ferrous sulfate elixir,ferrous sulfate elixir,22
ferrous sulfate-C-folic acid,ferrous sulfate-c-folic acid,28
ferumoxytol,ferumoxytol,11
fesoterodine,fesoterodine,12
fexofenadine,fexofenadine,12
fexofenadine ER,fexofenadine er,15
fexofenadine-pseudoephedrine,fexofenadine-pseudoephedrine,28
fidaxomicin,fidaxomicin,11
fidaxomicin 200mg TAB,fidaxomicin 200mg,17
fil,filgrastim,10
filgrastim,filgrastim,10
fin,finasteride,11
finast,finasteride,11
finasteride,finasteride,11
fingolimod,fingolimod,10
fio,fioricet,8
fior,fioricet,8
fiori,fioricet,8
fioricet,fioricet,8
fiorinal,fiorinal,8
fish,fish,4
fish oil,fish oil,8
fish oil-dha-epa,fish oil-dha-epa,16
flaxseed oil,flaxseed oil,12
flecainide,flecainide,10
fleet,fleet,5
fleet Enema,fleet enema,11
flomax,flomax,6
flon,flonase,7
flona,flonase,7
flonas,flonase,7
flonase,flonase,7
flove,flove,5
fluPHENAZine HCl,fluphenazine hcl,16
fluPHENAZine decanoate,fluphenazine decanoate,22
fluconazole,fluconazole,11
fludrocortisone,fludrocortisone,15
flunisolide,flunisolide,11
fluocinolone,fluocinolone,12
fluocinolone acetonide oiL,fluocinolone acetonide oil,26
fluocinolone acetonide oil,fluocinolone acetonide oil,26
fluocinonide,fluocinonide,12
fluorescein,fluorescein,11
fluoromet,fluorometholone,15
fluorometholone,fluorometholone,15
fluorouracil,fluorouracil,12
fluoxetine,fluoxetine,10
fluoxymesterone,fluoxymesterone,15
flurazepam,flurazepam,10
flurbiprofen,flurbiprofen,12
flurbiprofen sodium,flurbiprofen sodium,19
flutic,fluticasone,11
fluticasone,fluticasone,11
fluticasone furoate,fluticasone furoate,19
fluticasone furoate-vilanterol,fluticasone furoate-vilanterol,30
fluticasone propion-salmeteroL,fluticasone propion-salmeterol,30
fluticasone propion-salmeterol,fluticasone propion-salmeterol,30
fluticasone propionate,fluticasone propionate,22
fluticasone-salmeterol,fluticasone-salmeterol,22
fluticasone-umeclidin-vilanter,fluticasone-umeclidin-vilanter,30
fluticasone-umeclidin-vilanter 100-62.5-25 mcg,fluticasone-umeclidin-vilanter 100-62.5-25 mcg,46
fluticasone-vilanterol,fluticasone-vilanterol,22
fluvastatin,fluvastatin,11
fluvoxaMINE,fluvoxamine,11
folic acid,folic acid,10
fomepizole,fomepizole,10
fondaparinux,fondaparinux,12
formaldehyde (bulk),formaldehyde,12
formoterol fumarate,formoterol fumarate,19
fosaprepitant,fosaprepitant,13
foscarnet,foscarnet,9
fosfomycin tromethamine,fosfomycin tromethamine,23
fosinopril,fosinopril,10
fosinopril-hydrochlorothiazide,fosinopril-hydrochlorothiazide,30
fulvestrant,fulvestrant,11
furose,furosemide,10
furosemide,furosemide,10
gaba,gabapentin,10
gabapentin,gabapentin,10
gabapentin cream 6%,gabapentin 6%,13
gabitril,gabitril,8
gadobutrol,gadobutrol,10
gala,galantamine,11
galant,galantamine,11
galantamine,galantamine,11
galantamine 4mg/mL oral soln,galantamine 4mg/ml,18
galantamine ER ,galantamine er,14
galantamine ER 16mg CAP,galantamine er 16mg,19
gammagard,gammagard,9
ganaxolone,ganaxolone,10
ganciclovir,ganciclovir,11
ganciclovir ,ganciclovir,11
ganciclovir 500 mg  cap,ganciclovir 500mg,17
ganciclovir 500 mg cap,ganciclovir 500mg,17
ganciclovir 500 mg cap ,ganciclovir 500mg,17
ganciclovir 500 mg caps,ganciclovir 500mg,17
ganirelix,ganirelix,9
gatifloxacin,gatifloxacin,12
gatifloxacin 0.5%,gatifloxacin 0.5%,17
gefitinib,gefitinib,9
gemtuzumab ozogamicin,gemtuzumab ozogamicin,21
gentamicin,gentamicin,10
gilteritinib,gilteritinib,12
ginger (Zingiber officinalis),ginger (zingiber officinalis),29
ginger root (bulk),ginger root,11
gla,gla,3
glatiramer,glatiramer,10
glatiramer (40mg/ml),glatiramer (40mg/ml),20
glatiramer (Glatopa),glatiramer (glatopa),20
glatiramer (copaxone),glatiramer (copaxone),21
glatiramer injection,glatiramer injection,20
glecaprevir-pibrentasvir,glecaprevir-pibrentasvir,24
gleevec,gleevec,7
glim,glim,4
glimepiride,glimepiride,11
glipiZIDE,glipizide,9
glipiZIDE-metformin,glipizide-metformin,19
glipizide,glipizide,9
glucarpidase,glucarpidase,12
glucosamine sulfate,glucosamine sulfate,19
glucosamine-chondroitin,glucosamine-chondroitin,23
glutathione (bulk),glutathione,11
gly,glyburide,9
glyBURIDE,glyburide,9
glybu,glyburide,9
glycer,glycer,6
glycerin,glycerin,8
glycerin (adult),glycerin,8
glycerin-witch hazel,glycerin-witch hazel,20
glyco,glyco,5
glycopyrr,glycopyrrolate,14
glycopyrrolate,glycopyrrolate,14
goly,golytely,8
granisetron,granisetron,11
granisetron HCL,granisetron hcl,15
granisetron HCl,granisetron hcl,15
guai,guaifenesin,11
guaiFENesin,guaifenesin,11
guaiFENesin AC,guaifenesin ac,14
guaif,guaifenesin,11
guaife,guaifenesin,11
guaifen,guaifen,7
guaifenesin,guaifenesin,11
guanFACINE,guanfacine,10
guanFACINE (Tenex),guanfacine (tenex),18
guanfacine,guanfacine,10
halobetasol propionate,halobetasol propionate,22
halope,haloperidol,11
haloperidol,haloperidol,11
haloperidol ,haloperidol,11
haloperidol lactate,haloperidol lactate,19
hem,hem,3
hemin,hemin,5
hepar,heparin,7
heparin,heparin,7
heparin (porcine),heparin (porcine),17
heparin (porcine) (bulk),heparin (porcine),17
heparin (porcine) in 0.9% NaCl,heparin (porcine) in 0.9% nacl,30
hexylresorcinol,hexylresorcinol,15
homatropine HBr,homatropine hbr,15
humalog,humalog,7
humu,humulin,7
humul,humulin,7
humulin,humulin,7
hydrOXYzine HCl,hydroxyzine hcl,15
hydrOXYzine pamoate,hydroxyzine pamoate,19
hydroCHLOROthiazide,hydrochlorothiazide,19
hydrochloric acid (bulk),hydrochloric acid,17
hydrochlorothiazide,hydrochlorothiazide,19
hydroco,hydrocodone,11
hydrocodone-acetaminophen,hydrocodone-acetaminophen,25
hydrocodone-chlorpheniramine,hydrocodone-chlorpheniramine,28
hydrocodone-homatropine,hydrocodone-homatropine,23
hydrocor,hydrocortisone,14
hydrocorTISone,hydrocortisone,14
hydrocorTISone Sod Succ (PF),hydrocortisone sodium succ (pf),31
hydrocorTISone Sod Succinate,hydrocortisone sodium succinate,31
hydrocort,hydrocortisone,14
hydrocortis,hydrocortisone,14
hydrocortisone,hydrocortisone,14
hydrocortisone ,hydrocortisone,14
hydrocortisone-acetic acid,hydrocortisone-acetic acid,26
hydrocortisone-iodoquinl-aloe2,hydrocortisone-iodoquinl-aloe2,30
hydrocortisone-pramoxine,hydrocortisone-pramoxine,24
hydrocortisone/lidocaine suppository,hydrocortisone/lidocaine suppository,36
hydrogen peroxide,hydrogen peroxide,17
hydromo,hydromorphone,13
hydromorph,hydromorphone,13
hydromorphone,hydromorphone,13
hydromorphone-bupiv-NaCL (PF),hydromorphone-bupiv-nacl (pf),29
hydroxocobalamin,hydroxocobalamin,16
hydroxychloroquine,hydroxychloroquine,18
hydroxyp,hydroxyprogesterone,19
hydroxyprogesterone,hydroxyprogesterone,19
hydroxyprogesterone capr(bulk),hydroxyprogesterone capr,24
hydroxyprogesterone caproate,hydroxyprogesterone caproate,28
hydroxyprogesterone caproate (Makena),hydroxyprogesterone caproate (makena),37
hydroxyurea,hydroxyurea,11
hydroxyzine pamoate,hydroxyzine pamoate,19
hyo,hyoscyamine,11
hyos,hyoscyamine,11
hyosc,hyoscyamine,11
hyoscyamine,hyoscyamine,11
hyoscyamine sulfate,hyoscyamine sulfate,19
hypertonic nasal wash,hypertonic wash,15
hypromellose,hypromellose,12
hypromellose gel,hypromellose gel,16
hyrdocortisone,hyrdocortisone,14
ibandronate,ibandronate,11
ibrutinib,ibrutinib,9
ibrutinib (Imbruvica),ibrutinib (imbruvica),21
ibrutinib (imbruvica),ibrutinib (imbruvica),21
ibrutinib(Imbruvica),ibrutinib(imbruvica),20
ibu,ibuprofen,9
ibuprofen,ibuprofen,9
ibuprofen 600mg ,ibuprofen 600mg,15
icosapent ethyl,icosapent ethyl,15
icosapent ethyl (Vascepa),icosapent ethyl (vascepa),25
idelalisib,idelalisib,10
iloperidone,iloperidone,11
iloprost,iloprost,8
imatinib,imatinib,8
imd,imdur,5
imdu,imdur,5
imdur,imdur,5
imiglucerase,imiglucerase,12
imipenem-cilastatin,imipenem-cilastatin,19
imipramine HCl,imipramine hcl,14
imiquimod,imiquimod,9
immun glob G(IgG)-gly-IgA ov50 (Cuvitru),immun glob g(igg)-glyburide-iga ov50 (cuvitru),46
immun glob G(IgG)-pro-IgA 0-50,immun glob g(igg)-pro-iga 0-50,30
imod,imodium,7
indapamide,indapamide,10
inde,inderal,7
inder,inderal,7
indinavir,indinavir,9
indomethacin,indomethacin,12
inositoL,inositol,8
inositol,inositol,8
ins,insulin,7
insul,insulin,7
insuli,insulin,7
insulin,insulin,7
insulin ,insulin,7
insulin aspart,insulin aspart,14
insulin aspart ,insulin aspart,14
insulin aspart (niacinamide),insulin aspart (niacinamide),28
insulin aspart U-100,insulin aspart u-100,20
insulin degludec,insulin degludec,16
insulin detemir,insulin detemir,15
insulin glargine,insulin glargine,16
insulin glulisine,insulin glulisine,17
insulin lispro,insulin lispro,14
insulin lispro (for Insulin PUMP),insulin lispro (insulin pump),29
insulin lispro protam-lispro,insulin lispro protam-lispro,28
insulin pump,insulin pump,12
insulin regular hum U-500 conc,insulin hum u-500 conc,22
insulin regular human,insulin,7
interferon alfa-2b,interferon alfa-2b,18
interferon alfa-2b 6 million unit/mL,interferon alfa-2b 6 million unit/ml,36
interferon beta-1a,interferon beta-1a,18
interferon beta-1a (albumin),interferon beta-1a (albumin),28
interferon beta-1b (Betaseron),interferon beta-1b (betaseron),30
iodoquinol-HC,iodoquinol-hc,13
ioversol,ioversol,8
ipr,ipratropium,11
ipra,ipratropium,11
iprat,ipratropium,11
ipratropium,ipratropium,11
ipratropium bromide,ipratropium bromide,19
ipratropium bromide ,ipratropium bromide,19
ipratropium bromide  0.03%,ipratropium bromide 0.03%,25
ipratropium bromide (Nasal solution),ipratropium bromide,19
ipratropium bromide 0.03 % NASAL ,ipratropium bromide 0.03%,25
ipratropium bromide 0.03% Spray,ipratropium bromide 0.03%,25
ipratropium bromide 0.03% nasal spray,ipratropium bromide 0.03%,25
ipratropium bromide 0.06%,ipratropium bromide 0.06%,25
ipratropium-albuterol,ipratropium-albuterol,21
irb,irbesartan,10
irbe,irbesartan,10
irbes,irbesartan,10
irbesart,irbesartan,10
irbesartan,irbesartan,10
irbesartan ,irbesartan,10
irbesartan 300mg,irbesartan 300mg,16
irbesartan-hydrochlorothiazide,irbesartan-hydrochlorothiazide,30
iron,iron,4
iron bisglycinate chelate,iron bisglycinate chelate,25
iron complex,iron complex,12
iron plus vitamin c,iron plus vitamin c,19
iron sucrose,iron sucrose,12
"iron, carbonyl",iron carbonyl,13
iron-vitamin C,iron-vitamin c,14
isavuconazonium sulfate,isavuconazonium sulfate,23
isometh-dichloral-acetaminophn,isometh-dichloral-acetaminophn,30
isomethepten-caf-acetaminophen,isomethepten-caf-acetaminophen,30
isometheptene-dichloralphenazone-acetaminophen,isometheptene-dichloralphenazone-acetaminophen,46
isoniazid,isoniazid,9
isoproterenol HCl,isoproterenol hcl,17
isos,isosorbide,10
isoso,isosorbide,10
isosor,isosorbide,10
isosorb,isosorbide,10
isosorbide,isosorbide,10
isosorbide dinitrate,isosorbide dinitrate,20
isosorbide mon,isosorbide mononitrate,22
isotretinoin,isotretinoin,12
isradipine,isradipine,10
itraconazole (bulk),itraconazole,12
ivabradine,ivabradine,10
ivacaftor,ivacaftor,9
ivermectin,ivermectin,10
ivosidenib,ivosidenib,10
ixazomib,ixazomib,8
ixazomib (Ninlaro),ixazomib (ninlaro),18
keppra,keppra,6
ketamine,ketamine,8
ketamine (bulk),ketamine,8
ketamine 250 mg troche,ketamine 250mg troche,21
ketamine 5%- gabapentin 10%-lidocaine 6%-amitripline 2%,ketamine 5%- gabapentin 10%-lidocaine 6%-amitripline 2%,55
ketamine 5%/ lidocaine 5% / amit 2%,ketamine 5%/lidocaine 5%/amit 2%,32
ketamine troches,ketamine troches,16
ketoconazole,ketoconazole,12
ketorolac,ketorolac,9
ketorolac ,ketorolac,9
ketorolac  0.4% drops,ketorolac 0.4%,14
ketorolac (PF),ketorolac (pf),14
ketorolac 0.4%,ketorolac 0.4%,14
ketotifen,ketotifen,9
ketotifen ,ketotifen,9
ketotifen fumarate,ketotifen fumarate,18
ketotifen fumarate ,ketotifen fumarate,18
ketotifen fumarate  1mg,ketotifen fumarate 1mg,22
ketotifen fumarate (Alaway),ketotifen fumarate (alaway),27
ketotifen fumarate (bulk),ketotifen fumarate,18
ketotifen fumarate 0.025%,ketotifen fumarate 0.025%,25
ketotifen fumerate 0.035%,ketotifen fumerate 0.035%,25
ketotifen suspension,ketotifen,9
l-carnitine,l-carnitine,11
l-carnitine blus,l-carnitine blus,16
l-carnitine bolus,l-carnitine bolus,17
l-carnitine drug infusion,l-carnitine infusion,20
l-carnitine infusion,l-carnitine infusion,20
laBETalol,labetalol,9
laMIVudine,lamivudine,10
lacosamide,lacosamide,10
lacosamide / fosphenytoin,lacosamide/fosphenytoin,23
lacosamide/fosphenytoin,lacosamide/fosphenytoin,23
lactase,lactase,7
lactase (Lactaid),lactase (lactaid),17
lactic,lactic,6
lactobacillus acidophilus,lactobacillus acidophilus,25
lactul,lactulose,9
lactulo,lactulose,9
lactulose,lactulose,9
lamiVUDine,lamivudine,10
lamoTRIgine,lamotrigine,11
lamoTRIgine 200mg,lamotrigine 200mg,17
lamoTRIgine ER,lamotrigine er,14
lamotr,lamotrigine,11
lamotrigine,lamotrigine,11
lamotrigine (Lamictal Brand) NF,lamotrigine (lamictal) nf,25
lamotrigine ER ,lamotrigine er,14
lamotrigine ER 250 mg tablet,lamotrigine er 250mg,20
lanadelumab-flyo,lanadelumab-flyo,16
lanoxin,lanoxin,7
lans,lansoprazole,12
lanso,lansoprazole,12
lansop,lansoprazole,12
lansopraz,lansoprazole,12
lansoprazole,lansoprazole,12
lantus,lantus,6
lapatinib,lapatinib,9
larotrectinib,larotrectinib,13
lata,latanoprost,11
latano,latanoprost,11
latanoprost,latanoprost,11
lavender oil,lavender oil,12
ledipasvir-sofosbuvir,ledipasvir-sofosbuvir,21
lef,leflunomide,11
lefl,leflunomide,11
leflu,leflunomide,11
leflun,leflunomide,11
lefluno,leflunomide,11
leflunomide,leflunomide,11
leflunomide 10mg TAB,leflunomide 10mg,16
leflunomide 20 mg,leflunomide 20mg,16
leflunomide 20mg,leflunomide 20mg,16
lenalidomide,lenalidomide,12
lenalidomide (Revlimid),lenalidomide (revlimid),23
lenalidomide 5mg capsule,lenalidomide 5mg,16
lenvatinib,lenvatinib,10
lenvatinib (Lenvima),lenvatinib (lenvima),20
les,lescol,6
lesc,lescol,6
letermovir,letermovir,10
letrozole,letrozole,9
letrozole 2.5mg,letrozole 2.5mg,15
leucovorin calcium,leucovorin calcium,18
lev,levalbuterol,12
levETIRAcetam,levetiracetam,13
levETIRAcetam XL ,levetiracetam xl,16
levETIRAcetam XR,levetiracetam xr,16
levOCARNitine,levocarnitine,13
levOCARNitine (Carnitor),levocarnitine (carnitor),24
leva,levalbuterol,12
levalb,levalbuterol,12
levalbuter,levalbuter,10
levalbuterol,levalbuterol,12
levalbuterol HCl,levalbuterol hcl,16
levalbuterol HCl neb.,levalbuterol hcl neb.,21
levalbuterol neb,levalbuterol neb,16
levalbuterol tartrate,levalbuterol tartrate,21
levalbuterol tartrate (Xopenex),levalbuterol tartrate (xopenex),31
levalbuterol tartrate 45 mcg/actuation,levalbuterol tartrate 45 mcg/actuation,38
levemir,levemir,7
levemir ,levemir,7
levetiracetam,levetiracetam,13
levetiracetam ER,levetiracetam er,16
levmetamfetamine,levmetamfetamine,16
levo,levobunolol,11
levobunolol,levobunolol,11
levocarn,levocarnitine,13
levocarnitine,levocarnitine,13
levocetirizine,levocetirizine,14
levocetirizine ,levocetirizine,14
levocetirizine (Xyzal),levocetirizine (xyzal),22
levocetirizine (bulk),levocetirizine,14
levofloxacin,levofloxacin,12
levofloxacin 100mg/4ml solution,levofloxacin 100mg/4ml,22
levomilnacipran,levomilnacipran,15
levonorg-eth estrad triphasic,levonorg-eth estrad triphasic,29
levonorgestreL-ethinyl estrad,levonorgestrel-ethinyl estrad,29
levonorgestreL-ethinyl estrad 0.15-0.03mg,levonorgestrel-ethinyl estrad 0.15-0.03mg,41
levonorgestrel-ethinyl estrad,levonorgestrel-ethinyl estrad,29
levonorgestrel-ethinyl estradiol,levonorgestrel-ethinyl estradiol,32
levorphanol tartrate,levorphanol tartrate,20
levot,levothyroxine,13
levoth,levothyroxine,13
levothy,levothyroxine,13
levothyr,levothyroxine,13
levothyro,levothyroxine,13
levothyroxine,levothyroxine,13
levothyroxine (SYNTHROID),levothyroxine (synthroid),25
levothyroxine (T-4),levothyroxine (t-4),19
levothyroxine (bulk),levothyroxine,13
levothyroxine 112mcg ,levothyroxine 112mcg,20
levothyroxine 176 mcg,levothyroxine 176 mcg,21
levothyroxine 88 mcg,levothyroxine 88 mcg,20
levs,levsin,6
levsin,levsin,6
lid,lidocaine,9
lido,lidocaine,9
lidoc,lidocaine,9
lidoca,lidocaine,9
lidocain,lidocaine,9
lidocaine,lidocaine,9
lidocaine ,lidocaine,9
lidocaine (Lidoderm),lidocaine (lidoderm),20
lidocaine (PF),lidocaine (pf),14
lidocaine 1,lidocaine 1,11
lidocaine 3% - hydrocortisone 0.5%,lidocaine 3% - hydrocortisone 0.5%,34
lidocaine 3%/HC 0.5%,lidocaine 3%/hc 0.5%,20
lidocaine HCL 2%,lidocaine hcl 2%,16
lidocaine HCl,lidocaine hcl,13
lidocaine HCl - Hyrocortisone Acetate ,lidocaine hcl - hyrocortisone acetate,37
lidocaine HCl in 0.9 % NaCl,lidocaine hcl in 0.9% nacl,26
lidocaine HCl-hydrocortison ac,lidocaine hcl-hydrocortison ac,30
lidocaine-epinephrine,lidocaine-epinephrine,21
lidocaine-epinephrine (PF),lidocaine-epinephrine (pf),26
lidocaine-hydrocortisone ac,lidocaine-hydrocortisone ac,27
lidocaine-prilocaine,lidocaine-prilocaine,20
lifitegrast,lifitegrast,11
lifitegrast ophthalmic  solution,lifitegrast ophthalmic,22
linaCLOtide,linaclotide,11
linaCLOtide ,linaclotide,11
linaCLOtide (Linzell),linaclotide (linzell),21
linaCLOtide (Linzess),linaclotide (linzess),21
linaCLOtide 145 mcg,linaclotide 145 mcg,19
linaCLOtide 145 mcg ,linaclotide 145 mcg,19
linaclotide,linaclotide,11
linagliptin,linagliptin,11
linagliptin-metformin,linagliptin-metformin,21
lindane,lindane,7
linezolid,linezolid,9
liothyronine,liothyronine,12
liothyronine (bulk) (T3),liothyronine  (t3),18
liothyronine 7.5mcg,liothyronine 7.5mcg,19
liothyronine-levothyroxine,liothyronine-levothyroxine,26
liotrix,liotrix,7
lipase-protease-amylase,lipase-protease-amylase,23
lipase-protease-amylase (Pancreaze),lipase-protease-amylase (pancreaze),35
liragl,liraglutide,11
liraglutide,liraglutide,11
liraglutide ,liraglutide,11
liraglutide (Victoza),liraglutide (victoza),21
liraglutide (weight loss),liraglutide (weight loss),25
lisdexamfetamine,lisdexamfetamine,16
lisdexamfetamine (Vynanse),lisdexamfetamine (vynanse),26
lisdexamfetamine (Vyvanse),lisdexamfetamine (vyvanse),26
lisinopril,lisinopril,10
lisinopril-hydrochlorothiazide,lisinopril-hydrochlorothiazide,30
lithiu,lithium,7
lithium,lithium,7
lithium carbonate,lithium carbonate,17
lithium citrate,lithium citrate,15
lomustine,lomustine,9
loper,loperamide,10
loperamide,loperamide,10
lopinavir-ritonavir,lopinavir-ritonavir,19
loratadine,loratadine,10
lorazepam,lorazepam,9
lorcaserin,lorcaserin,10
lorlatinib,lorlatinib,10
losar,losartan,8
losartan,losartan,8
losartan-hydrochlorothiazide,losartan-hydrochlorothiazide,28
loteprednol,loteprednol,11
loteprednol etabonate,loteprednol etabonate,21
lovastatin,lovastatin,10
loxapine succinate,loxapine succinate,18
lubiprostone,lubiprostone,12
lur,lurasidone,10
lurasidone,lurasidone,10
lurasidone ,lurasidone,10
lurasidone (Latuda),lurasidone (latuda),19
lutein,lutein,6
lutein-zeaxanthin,lutein-zeaxanthin,17
lysine,lysine,6
lysine 500mg tablets,lysine 500mg,12
lysine HCl,lysine hcl,10
maa,maalox,6
maal,maalox,6
maalo,maalox,6
macitentan,macitentan,10
macitentan ,macitentan,10
macitentan (Opsumit),macitentan (opsumit),20
macitentan (Opsumit) 10mg tab,macitentan (opsumit) 10mg,25
macitentan 10mg,macitentan 10mg,15
mafenide acetate,mafenide acetate,16
mag,mag,3
magnesium,magnesium,9
magnesium L-lactate,magnesium l-lactate,19
magnesium amino acid chelate,magnesium aminocaproic acid chelate,35
magnesium carbonate (bulk),magnesium carbonate,19
magnesium chloride,magnesium chloride,18
magnesium citrate,magnesium citrate,17
magnesium citrate (bulk),magnesium citrate,17
magnesium gluconate,magnesium gluconate,19
magnesium glycinate *NF* 100 mg,magnesium glycinate 100mg,25
magnesium hydroxide,magnesium hydroxide,19
magnesium malate,magnesium malate,16
magnesium orotate,magnesium orotate,17
magnesium oxide,magnesium oxide,15
magnesium oxide & Amino acid chelate,magnesium oxide & aminocaproic acid chelate,43
magnesium oxide-Mg AA chelate,magnesium oxide-mg aa chelate,29
magnesium oxide/AA chelate,magnesium oxide/aa chelate,26
magnesium sulfate,magnesium sulfate,17
maprotiline,maprotiline,11
maraviroc,maraviroc,9
maribavir 100 mg tab,maribavir 100mg,15
mbl,mbl,3
meTOPROLOL succinate,metoprolol succinate,20
mecli,meclizine,9
meclizine,meclizine,9
medroxyPROGESTERone (bulk),medroxyprogesterone,19
medroxyPROGESTerone 1% drops,medroxyprogesterone 1%,22
medroxyprogesterone,medroxyprogesterone,19
megest,megestrol,9
megestrol,megestrol,9
mekinist (Trametinib),mekinist (trametinib),21
melatonin,melatonin,9
melatonin 3mg,melatonin 3mg,13
melatonin 3mg Tablet,melatonin 3mg,13
melatonin 5mg,melatonin 5mg,13
meloxicam,meloxicam,9
meloxicam 15mg,meloxicam 15mg,14
memant,memant,6
memantine,memantine,9
memantine ER,memantine er,12
